source_url,strain_count,strain_id
https://multiversebeans.com/product/canuk-seeds-cookies-and-cream-elite-strain-fem-photo/,1,[3466]
https://multiversebeans.com/product/canuk-seeds-cream-strain-auto-fem/,1,[3578]
https://multiversebeans.com/product/canuk-seeds-critical-mass-strain-auto-fem/,1,[3688]
https://multiversebeans.com/product/canuk-seeds-critical-mass-strain-fem-photo/,1,[3750]
https://multiversebeans.com/product/canuk-seeds-critical-widow-strain-fem-photo/,1,[3784]
https://multiversebeans.com/product/canuk-seeds-do-si-dos-elite-strain-fem-photo/,1,[4251]
https://multiversebeans.com/product/canuk-seeds-dosi-cookies-elite-strain-fem-photo/,1,[4210]
https://multiversebeans.com/product/canuk-seeds-double-chocolate-elite-strain-fem-photo/,1,[4329]
https://multiversebeans.com/product/canuk-seeds-elixir-cbd-strain-auto-fem/,1,[4616]
https://multiversebeans.com/product/canuk-seeds-fire-og-elite-strain-fem-photo/,1,[4826]
https://multiversebeans.com/product/canuk-seeds-fruity-pebbles-strain-fem-photo/,1,[5149]
https://multiversebeans.com/product/canuk-seeds-g13-strain-fem-photo/,1,[5205]
https://multiversebeans.com/product/canuk-seeds-gelato-elite-strain-auto-fem/,1,[5447]
https://multiversebeans.com/product/canuk-seeds-gelato-elite-strain-fem-photo/,1,[5446]
https://multiversebeans.com/product/canuk-seeds-gelato-glue-strain-fem-photo/,1,[5449]
https://multiversebeans.com/product/canuk-seeds-glueberry-og-elite-strain-fem-photo/,1,[5691]
https://multiversebeans.com/product/canuk-seeds-gold-rush-elite-strain-fem-photo/,1,[5810]
https://multiversebeans.com/product/canuk-seeds-grandaddy-black-elite-strain-fem-photo/,1,[6070]
https://multiversebeans.com/product/canuk-seeds-grandaddy-bruce-elite-strain-fem-photo/,1,[6073]
https://multiversebeans.com/product/canuk-seeds-grape-ape-elite-strain-fem-photo/,1,[6138]
https://multiversebeans.com/product/canuk-seeds-grapefruit-strain-auto-fem/,1,[6234]
https://multiversebeans.com/product/canuk-seeds-great-white-shark-strain-auto-fem/,1,[6287]
https://multiversebeans.com/product/canuk-seeds-ice-cream-cake-elite-strain-fem-photo/,1,[7011]
https://multiversebeans.com/product/canuk-seeds-iced-skunk-strain-fem-photo/,1,[7045]
https://multiversebeans.com/product/canuk-seeds-jack-herer-strain-fem-photo/,1,[7228]
https://multiversebeans.com/product/canuk-seeds-king-tut-elite-strain-fem-photo/,1,[7684]
https://multiversebeans.com/product/canuk-seeds-kushy-kush-strain-fem-photo/,1,[7857]
https://multiversebeans.com/product/canuk-seeds-lambs-bread-elite-strain-fem-photo/,1,[7921]
https://multiversebeans.com/product/canuk-seeds-lemon-skunk-strain-auto-fem/,1,[8213]
https://multiversebeans.com/product/canuk-seeds-lemonade-og-elite-strain-fem-photo/,1,[8265]
