strain_name_raw,source_url_raw,s3_html_key_raw,breeder_extracted
Blueberry Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/blueberry-herbies-seeds-usa,html/a7ab1ae4a0abdc45.html,Herbies Seeds
Grandaddy Purple Fast Version Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/grandaddy-purple-fast-version-herbies-seeds-usa,html/a811e57afc013c79.html,Herbies Seeds
Powerplant Fast Version Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/powerplant-fast-version-herbies-seeds-usa,html/a902860b9a1e94e4.html,Herbies Seeds
Bubba Slush Ghs,https://herbiesheadshop.com/cannabis-seeds/bubba-slush-ghs,html/a927177349c4add9.html,Green House Seeds
Bruce Banner Fast Version,https://herbiesheadshop.com/cannabis-seeds/bruce-banner-fast-version,html/a95bc729b6d983f4.html,EGS
Biscotti Barneys Farm,https://herbiesheadshop.com/cannabis-seeds/biscotti-barneys-farm,html/a96408acac3c8e08.html,Barney's Farm
Original Cinderella Auto Fastbuds,https://herbiesheadshop.com/cannabis-seeds/original-cinderella-auto-fastbuds,html/ab46226a6f970d49.html,Fast Buds
Cheese Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/cheese-herbies-seeds-usa,html/ac076088f968b3f3.html,Herbies Seeds
Amnesia Kush Auto Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/amnesia-kush-auto-herbies-seeds-usa,html/ac645f3b613320ed.html,Herbies Seeds
Glookies,https://herbiesheadshop.com/cannabis-seeds/glookies,html/ac8e28a4ba2e5f3e.html,Barney's Farm
Blueberry Auto Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/blueberry-auto-herbies-seeds-usa,html/ad432eb06cf64f5e.html,Herbies Seeds
Kerosene Krash Auto Dutch Passion,https://herbiesheadshop.com/cannabis-seeds/kerosene-krash-auto-dutch-passion,html/ad84419fd6f33bc9.html,Dutch Passion
Purple Haze Auto Fast Buds,https://herbiesheadshop.com/cannabis-seeds/purple-haze-auto-fast-buds,html/ada4701a000c7234.html,Fast Buds
Critical Orange Punch,https://herbiesheadshop.com/cannabis-seeds/critical-orange-punch,html/adec9046e3baf1f2.html,Dutch Passion
Peyote Critical,https://herbiesheadshop.com/cannabis-seeds/peyote-critical,html/ae02288e291eff3e.html,Barney's Farm
Black Cherry Punch Growers Choice,https://herbiesheadshop.com/cannabis-seeds/black-cherry-punch-growers-choice,html/ae2e1c1ee7349c9c.html,Growers Choice
Pineapple Express Barneys Farm,https://herbiesheadshop.com/cannabis-seeds/pineapple-express-barneys-farm,html/ae69a58633be3e92.html,Barney's Farm
Cbd Auto 20 1,https://herbiesheadshop.com/cannabis-seeds/cbd-auto-20-1,html/ae97d2712105f9d6.html,Fast Buds
Hindu Kush Sensi Seeds,https://herbiesheadshop.com/cannabis-seeds/hindu-kush-sensi-seeds,html/afdc08a7fd2bcdc7.html,Sensi Seeds
